"Unit Index (Row, Col)",Row,Col,X mm (left edge),Y mm (bottom edge),X right edge (mm),Y top edge (mm)
"(0, 0)",0,0,228.447,227.837,271.947,265.337
"(0, 1)",0,1,229.957,227.837,273.457,265.337
"(0, 2)",0,2,231.467,227.837,274.967,265.337
"(0, 3)",0,3,232.976,227.837,276.476,265.337
"(0, 4)",0,4,234.486,227.837,277.986,265.337
"(0, 5)",0,5,238.014,227.837,281.514,265.337
"(0, 6)",0,6,239.524,227.837,283.024,265.337
"(0, 7)",0,7,241.033,227.837,284.533,265.337
"(0, 8)",0,8,242.543,227.837,286.043,265.337
"(0, 9)",0,9,244.053,227.837,287.553,265.337
"(1, 0)",1,0,228.447,230.947,271.947,268.447
"(1, 1)",1,1,229.957,230.947,273.457,268.447
"(1, 2)",1,2,231.467,230.947,274.967,268.447
"(1, 3)",1,3,232.976,230.947,276.476,268.447
"(1, 4)",1,4,234.486,230.947,277.986,268.447
"(1, 5)",1,5,238.014,230.947,281.514,268.447
"(1, 6)",1,6,239.524,230.947,283.024,268.447
"(1, 7)",1,7,241.033,230.947,284.533,268.447
"(1, 8)",1,8,242.543,230.947,286.043,268.447
"(1, 9)",1,9,244.053,230.947,287.553,268.447
"(2, 0)",2,0,228.447,234.057,271.947,271.557
"(2, 1)",2,1,229.957,234.057,273.457,271.557
"(2, 2)",2,2,231.467,234.057,274.967,271.557
"(2, 3)",2,3,232.976,234.057,276.476,271.557
"(2, 4)",2,4,234.486,234.057,277.986,271.557
"(2, 5)",2,5,238.014,234.057,281.514,271.557
"(2, 6)",2,6,239.524,234.057,283.024,271.557
"(2, 7)",2,7,241.033,234.057,284.533,271.557
"(2, 8)",2,8,242.543,234.057,286.043,271.557
"(2, 9)",2,9,244.053,234.057,287.553,271.557
"(3, 0)",3,0,228.447,237.443,271.947,274.943
"(3, 1)",3,1,229.957,237.443,273.457,274.943
"(3, 2)",3,2,231.467,237.443,274.967,274.943
"(3, 3)",3,3,232.976,237.443,276.476,274.943
"(3, 4)",3,4,234.486,237.443,277.986,274.943
"(3, 5)",3,5,238.014,237.443,281.514,274.943
"(3, 6)",3,6,239.524,237.443,283.024,274.943
"(3, 7)",3,7,241.033,237.443,284.533,274.943
"(3, 8)",3,8,242.543,237.443,286.043,274.943
"(3, 9)",3,9,244.053,237.443,287.553,274.943
"(4, 0)",4,0,228.447,240.553,271.947,278.053
"(4, 1)",4,1,229.957,240.553,273.457,278.053
"(4, 2)",4,2,231.467,240.553,274.967,278.053
"(4, 3)",4,3,232.976,240.553,276.476,278.053
"(4, 4)",4,4,234.486,240.553,277.986,278.053
"(4, 5)",4,5,238.014,240.553,281.514,278.053
"(4, 6)",4,6,239.524,240.553,283.024,278.053
"(4, 7)",4,7,241.033,240.553,284.533,278.053
"(4, 8)",4,8,242.543,240.553,286.043,278.053
"(4, 9)",4,9,244.053,240.553,287.553,278.053
"(5, 0)",5,0,228.447,243.663,271.947,281.163
"(5, 1)",5,1,229.957,243.663,273.457,281.163
"(5, 2)",5,2,231.467,243.663,274.967,281.163
"(5, 3)",5,3,232.976,243.663,276.476,281.163
"(5, 4)",5,4,234.486,243.663,277.986,281.163
"(5, 5)",5,5,238.014,243.663,281.514,281.163
"(5, 6)",5,6,239.524,243.663,283.024,281.163
"(5, 7)",5,7,241.033,243.663,284.533,281.163
"(5, 8)",5,8,242.543,243.663,286.043,281.163
"(5, 9)",5,9,244.053,243.663,287.553,281.163
